user,item,rating,timestamp
305,451,3,886324817
62,257,2,879372434
194,274,2,879539794
299,144,4,877881320
308,1,4,887736532
95,546,2,879196566
301,98,4,882075827
59,196,5,888205088
42,423,5,881107687
178,248,4,882823954
299,229,3,878192429
42,403,3,881108684
279,154,5,875296291
145,275,2,885557505
62,498,4,879373848
286,208,4,877531942
293,685,3,888905170
271,132,5,885848672
198,498,3,884207492
42,96,5,881107178
194,385,2,879524643
293,471,3,888904884
59,23,5,888205300
7,479,4,891352010
13,272,4,884538403
305,427,5,886323090
43,14,2,883955745
299,111,3,877878184
85,427,3,879456350
90,98,5,891383204
305,117,2,886324028
43,137,4,875975656
18,443,3,880130193
13,98,4,881515011
276,322,3,874786392
130,216,4,875216545
92,77,3,875654637
207,476,2,884386343
305,471,4,886323648
194,181,3,879521396
299,14,4,877877775
269,127,4,891446165
6,14,5,883599249
303,69,5,879467542
178,568,4,882826555
207,591,3,876018608
92,172,4,875653271
301,56,4,882076587
297,133,4,875240090
269,367,3,891450023
286,143,4,889651549
222,118,4,877563802
301,79,5,882076403
145,237,5,875270570
42,546,3,881105817
95,135,3,879197562
222,77,4,878183616
13,215,5,882140588
145,15,2,875270655
184,218,3,889909840
128,204,4,879967478
184,153,3,889911285
184,321,5,889906967
128,508,4,879967767
301,227,3,882077222
301,191,3,882075672
303,134,5,879467959
13,56,5,881515011
286,237,2,875806800
92,229,3,875656201
144,89,3,888105691
271,199,4,885848448
222,151,3,878182109
207,258,4,877879172
43,323,3,875975110
194,66,3,879527264
308,402,4,887740700
94,265,4,891721889
269,845,1,891456255
13,186,4,890704999
151,197,5,879528710
249,188,4,879641067
222,97,4,878181739
293,135,5,888905550
13,498,4,882139901
128,15,4,879968827
286,288,5,875806672
85,259,2,881705026
303,252,3,879544791
184,187,4,889909024
13,229,4,882397650
92,168,4,875653723
303,200,4,879468459
151,176,2,879524293
234,187,4,892079140
308,427,4,887736584
109,8,3,880572642
198,58,3,884208173
128,603,5,879966839
90,289,3,891382310
305,71,3,886323684
280,508,3,891700453
90,259,2,891382392
59,742,3,888203053
62,12,4,879373613
178,845,4,882824291
269,22,1,891448072
269,234,1,891449406
6,98,5,883600680
276,70,4,874790826
42,274,5,881105817
1,202,5,875072442
178,742,3,882823833
109,127,2,880563471
207,13,3,875506839
42,588,5,881108147
92,739,2,876175582
311,432,4,884365485
276,188,4,874792547
222,173,5,878183043
299,134,4,878192311
90,25,5,891384789
286,153,5,877531406
234,318,4,892078890
268,147,4,876514002
92,515,4,875640800
308,187,5,887738760
276,64,5,874787441
85,588,3,880838306
201,272,3,886013700
293,423,3,888906070
276,181,5,874786488
102,70,3,888803537
178,433,4,882827834
286,99,4,878141681
90,258,3,891382121
207,318,5,877124871
194,172,3,879521474
90,22,4,891384357
286,357,4,877531537
311,179,2,884365357
92,121,5,875640679
1,265,4,878542441
178,385,4,882826982
194,23,4,879522819
276,294,4,874786366
207,845,3,881681663
7,200,5,891353543
59,323,4,888206809
43,203,4,883955224
303,161,5,879468547
286,298,4,875807004
109,475,1,880563641
6,301,2,883600406
102,515,1,888801316
6,258,2,883268278
286,175,5,877532470
201,203,5,884114471
144,742,4,888104122
109,566,4,880578814
85,228,3,882813248
7,472,2,891353357
145,56,5,875271896
313,117,4,891015319
297,89,4,875239125
94,216,3,885870665
280,1,4,891700426
1,117,3,874965739
198,258,4,884204501
6,69,3,883601277
85,433,3,879828720
194,77,3,879527421
62,182,5,879375169
198,234,3,884207833
90,12,5,891383241
311,98,5,884364502
269,252,1,891456350
311,9,4,884963365
301,523,4,882076146
198,118,2,884206513
151,13,3,879542688
293,137,3,888904653
201,432,3,884111312
13,181,5,882140354
313,566,4,891016220
144,125,4,888104191
109,402,4,880581344
207,58,3,875991047
194,187,4,879520813
109,97,3,880578711
297,275,5,874954260
297,234,3,875239018
276,419,5,874792907
62,302,3,879371909
268,298,3,875742647
279,168,5,875296435
276,474,5,889174904
85,25,2,879452769
42,98,4,881106711
303,393,4,879484981
184,98,4,889908539
128,182,4,879967225
59,235,1,888203658
297,25,4,874954497
7,451,5,891353892
6,23,4,883601365
222,22,5,878183285
13,147,3,882397502
234,147,3,892335372
280,845,3,891700925
178,199,4,882826306
308,174,4,887736696
234,98,4,892078567
94,24,4,885873423
130,307,4,877984546
94,174,4,885870231
194,191,4,879521856
297,432,4,875239658
151,12,5,879524368
305,483,5,886323068
1,222,4,878873388
94,651,5,891725332
279,89,4,875306910
18,202,3,880130515
234,228,3,892079190
64,433,2,889740286
276,357,5,874787526
62,433,5,879375588
130,234,5,875216932
299,240,2,877878414
305,79,3,886324276
207,25,4,876079113
109,1,4,880563619
85,282,3,879829618
279,96,4,875310606
18,182,4,880130640
276,568,4,882659211
128,739,4,879969349
271,56,3,885848559
201,209,3,884112801
59,77,4,888206254
222,88,4,878183336
303,411,4,879483802
308,215,3,887737483
85,187,5,879454235
13,195,3,881515296
144,153,5,888105823
94,471,4,891721642
85,13,3,879452866
184,191,4,889908716
313,22,3,891014870
13,121,5,882397503
62,288,2,879371909
280,127,5,891702544
94,218,3,891721851
311,566,4,884366112
184,514,5,889908497
90,690,4,891383319
276,845,4,874786807
308,95,4,887737130
271,187,5,885848343
94,211,5,891721142
95,1,5,879197329
151,58,4,879524849
184,660,3,889909962
279,144,4,880850073
145,22,5,875273021
102,322,3,883277645
109,258,5,880562908
92,176,5,875652981
92,180,5,875653016
43,204,4,883956122
201,215,2,884140382
90,187,4,891383561
144,182,3,888105743
85,83,4,886282959
297,588,4,875238579
178,276,3,882823978
90,245,3,891382612
311,143,3,884364812
1,227,4,876892946
279,227,4,889326161
299,588,4,877880852
234,582,4,892334883
92,216,3,875653867
13,66,3,882141485
269,13,4,891446662
42,685,4,881105972
184,161,2,889909640
313,99,4,891014029
249,255,3,879571752
6,508,3,883599530
293,132,4,888905481
62,132,5,879375022
102,161,2,888801876
109,588,4,880578388
301,660,4,882076782
85,298,4,880581629
305,11,1,886323237
144,508,4,888104150
276,273,4,874786517
198,7,4,884205317
13,150,5,882140588
42,176,3,881107178
145,472,3,875271128
92,15,3,875640189
311,419,3,884364931
95,527,4,888954440
234,132,4,892333865
305,50,5,886321799
201,69,2,884112901
94,58,5,891720540
313,200,3,891017736
303,433,4,879467985
64,176,4,889737567
62,111,3,879372670
303,176,5,879467260
286,154,4,877533381
18,496,5,880130470
95,172,4,879196847
269,235,3,891446756
269,9,4,891446246
42,195,5,881107949
293,79,3,888906045
249,88,4,879572668
311,203,5,884365201
201,660,3,884140927
279,79,3,875296461
276,226,4,874792520
311,83,5,884364812
7,228,4,891350845
268,1,3,875742341
59,215,5,888204430
299,235,1,877878184
297,182,3,875239125
7,151,4,891352749
178,678,3,882823530
94,168,5,891721378
301,202,5,882076211
6,357,4,883602422
92,24,3,875640448
128,228,3,879969329
151,89,5,879524491
198,100,1,884207325
297,307,4,878771124
194,4,4,879521397
178,282,3,882823978
293,496,5,888905840
303,209,5,879467328
201,403,3,884112427
303,435,5,879466491
62,258,5,879371909
293,748,2,888904327
271,111,4,885847956
207,4,4,876198457
313,96,5,891015144
201,79,4,884112245
184,181,4,889907426
297,218,3,875409827
178,209,4,882826944
94,9,5,885872684
59,286,3,888202532
194,234,3,879521167
201,197,4,884113422
13,14,4,884538727
64,684,4,889740199
198,135,5,884208061
42,185,4,881107449
305,187,4,886323189
184,71,4,889911552
130,245,1,874953526
293,288,3,888904327
269,285,5,891446165
145,591,4,879161848
43,151,4,875975613
62,24,4,879372633
271,410,2,885848238
194,237,3,879538959
194,82,2,879524216
311,385,5,884365284
145,393,5,875273174
276,180,5,874787353
13,451,1,882141872
42,69,4,881107375
311,172,5,884364763
7,582,5,892135347
7,127,5,891351728
234,161,3,892335824
6,143,2,883601053
6,275,4,883599102
269,82,2,891450780
286,258,4,877530390
13,289,2,882140759
184,100,5,889907652
1,64,5,875072404
7,196,5,891351432
280,472,2,891702086
59,588,2,888204389
94,89,3,885870284
6,294,2,883599938
42,684,4,881108093
207,121,3,875504876
59,70,3,888204758
268,684,3,875744321
308,298,5,887741383
249,11,5,879640868
42,603,4,881107502
299,186,3,889503233
59,433,5,888205982
59,496,4,888205144
303,302,4,879465986
92,289,3,875641367
13,144,4,882397146
151,402,3,879543423
303,323,1,879466214
280,204,3,891700643
301,174,5,882075827
13,476,2,882141997
234,50,4,892079237
151,186,4,879524222
234,134,5,892333573
201,313,5,884110598
151,15,4,879524879
59,12,5,888204260
13,97,4,882399357
151,210,4,879524419
201,405,4,884112427
313,191,5,891013829
