experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
12,50%;graph;item;3;aa;highest-similarity;0,719063545;0,467670011;0,420442514
12,50%;graph;item;3;cn;highest-similarity;0,79264214;0,574693423;0,452673266
12,50%;graph;item;3;ew;highest-similarity;0,79264214;0,574693423;0,464183968
12,50%;graph;item;3;jn;highest-similarity;0,79264214;0,574693423;0,457200226
12,50%;graph;item;3;pa;highest-similarity;0,79264214;0,574693423;0,452405279
12,50%;graph;item;3;waa;highest-similarity;0,79264214;0,574693423;0,461781117
12,50%;graph;item;3;wcn;highest-similarity;0,79264214;0,574693423;0,461781117
12,50%;graph;item;3;wpa;highest-similarity;0,79264214;0,574693423;0,461781117
12,50%;graph;item;5;aa;highest-similarity;0,809364548;0,482274247;0,420442514
12,50%;graph;item;5;cn;highest-similarity;0,809364548;0,482274247;0,452673266
12,50%;graph;item;5;ew;highest-similarity;0,876254181;0,484949833;0,464183968
12,50%;graph;item;5;jn;highest-similarity;0,809364548;0,482274247;0,457200226
12,50%;graph;item;5;pa;highest-similarity;0,809364548;0,482274247;0,452405279
12,50%;graph;item;5;waa;highest-similarity;0,809364548;0,482274247;0,461781117
12,50%;graph;item;5;wcn;highest-similarity;0,809364548;0,482274247;0,461781117
12,50%;graph;item;5;wpa;highest-similarity;0,809364548;0,482274247;0,461781117
12,50%;graph;item;10;aa;highest-similarity;0,889632107;0,403846154;0,420442514
12,50%;graph;item;10;cn;highest-similarity;0,889632107;0,405183946;0,452673266
12,50%;graph;item;10;ew;highest-similarity;0,904682274;0,42090301;0,464183968
12,50%;graph;item;10;jn;highest-similarity;0,897993311;0,414214047;0,457200226
12,50%;graph;item;10;pa;highest-similarity;0,889632107;0,405183946;0,452405279
12,50%;graph;item;10;waa;highest-similarity;0,89632107;0,413210702;0,461781117
12,50%;graph;item;10;wcn;highest-similarity;0,89632107;0,413879599;0,461781117
12,50%;graph;item;10;wpa;highest-similarity;0,89632107;0,414046823;0,461781117
12,50%;graph;item;3;aa;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;cn;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;ew;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;jn;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;pa;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;waa;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;wcn;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;3;wpa;simple_voting;0,588628763;0,313266444;0,308662785
12,50%;graph;item;5;aa;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;cn;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;ew;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;jn;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;pa;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;waa;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;wcn;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;5;wpa;simple_voting;0,755852843;0,319732441;0,308662785
12,50%;graph;item;10;aa;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;cn;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;ew;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;jn;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;pa;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;waa;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;wcn;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;10;wpa;simple_voting;0,886287625;0,314214047;0,308662785
12,50%;graph;item;3;aa;weighted_voting;0,727424749;0,491081382;0,428577761
12,50%;graph;item;3;cn;weighted_voting;0,725752508;0,491081382;0,427792013
12,50%;graph;item;3;ew;weighted_voting;0,79264214;0,574693423;0,487089022
